source	target	frequency
LINGO2	TFF3	0.99
A1BG	CUL1_FBXW7_RBX1_SKP1	0.01
A2M	LRP1	0.01
AAK1	AP2M1	0.01
AAK1	NUMB	0.01
AANAT	MTNR1A	0.01
AATF	CHEK2	0.01
AATK	STK39	0.01
ABCA1	APOA1	0.01
ABCA1	PLTP	0.01
ABCA1	RIMS2	0.01
ABCA1	SNTB2	0.01
ABCC1	CSNK2A1	0.01
ABCC2	RARA	0.01
ABCC3	SP1	0.01
ABCC8	RAPGEF4	0.01
ABCG2	PIM1	0.01
ABL1	BCR	0.01
ABL1	CDV3	0.01
ABL1	CHRNB1	0.01
ABL1	ENAH	0.01
ABL1	ERCC6	0.01
ABL1	GPX1	0.01
ABL1	LGALS3	0.01
ABL1	OGDH	0.01
ABL1	PIK3AP1	0.01
ABL1	PSMA7	0.01
ABL1	RAPH1	0.01
ABL1	RBM39	0.01
ABL1	SHE	0.01
ABL1	SORBS1	0.01
ABL1	SORBS2	0.01
ABL1	TBX21	0.01
ABL1	TRIP10	0.01
ABL1	TUB	0.01
ABL1	WASF3	0.01
ABL1	YTHDC1	0.01
ABL1	ZDHHC16	0.01
ABL2	MYH10	0.01
ABL2	RIN1	0.01
ABLIM1	ATM	0.01
ABR	RAC1	0.01
ABRAXAS1	BRCA1	0.01
ACAA2	BNIP3	0.01
ACACB	MID1IP1	0.01
ACACB	PRKAA2	0.01
ACADM	HNF4A	0.01
ACADVL	PRKACA	0.01
ACAN	ADAMTS5	0.01
ACAN	MMP14	0.01
ACAP1	AKT1	0.01
ACAT1	FGFR1	0.01
ACE	AGT	0.01
ACE	BDKRB2	0.01
ACE2	AGT	0.01
ACIN1	SRPK2	0.01
ACKR1	CCL17	0.01
ACKR1	CCL2	0.01
ACKR1	CXCL1	0.01
ACKR1	CXCL8	0.01
ACKR2	CCL11	0.01
ACKR2	CCL2	0.01
ACKR2	CCL7	0.01
ACKR3	CXCL12	0.01
ACLY	KLHL25	0.01
ACLY	PRKACA	0.01
ACO1	PRKCA	0.01
ACOT4	AKT1	0.01
ACOX1	PPARA	0.01
ACP3	ERBB2	0.01
ACTA2	TP53	0.01
ACTB	ARPC2	0.01
ACTB	CFL1	0.01
ACTB	CKB	0.01
ACTG1	GSN	0.01
ACTN1	PTPN1	0.01
ACTN3	SH3KBP1	0.01
ACTN4	PTK2	0.01
ACVR1	AMH	0.01
ACVR1	BMP7	0.01
ACVR1	INHBB	0.01
ACVR1	SMAD5	0.01
ACVR1B	GDF10	0.01
ACVR1B	IGSF1	0.01
ACVR1B	INHBA	0.01
ACVR1C_ACVR2B	GDF3	0.01
ACVR1C_ACVR2B	INHBB	0.01
ACVR2A	BMP2	0.01
ACVR2A	INHBC	0.01
ACVR2B	BMP2	0.01
ACVR2B	BMP3	0.01
ACVR2B	LEFTY2	0.01
ACVR2B	MSTN	0.01
ADA	DPP4	0.01
ADAM10	EPHA3	0.01
ADAM10	TSPAN10	0.01
ADAM10	TSPAN17	0.01
ADAM10	TSPAN33	0.01
ADAM10	TSPAN5	0.01
ADAM11	LGI4	0.01
ADAM12	SDC4	0.01
ADAM15	HCK	0.01
ADAM22	LGI1	0.01
ADAM22	LGI4	0.01
ADAM23	LGI2	0.01
ADAM23	LGI3	0.01
ADAM23	LGI4	0.01
ADAMTS13	VWF	0.01
ADAP1	PRKCE	0.01
ADARB1	PRKCZ	0.01
ADCK5	SOX9	0.01
ADCY1	GNAI2	0.01
ADCY5	GNAI2	0.01
ADCY6	ADGRV1	0.01
ADCY6	GNAI2	0.01
ADCY8	CALM3	0.01
ADCY9	GNAS	0.01
ADCYAP1	VIPR1	0.01
ADCYAP1	VIPR2	0.01
ADD2	PRKACA	0.01
ADD2	PRKCD	0.01
ADD3	PRKCA	0.01
ADGRA3	SIGLEC10	0.01
ADGRB1	RTN4R	0.01
ADGRB1	RTN4RL2	0.01
ADGRB2	TAX1BP3	0.01
ADGRB3	C1QL1	0.01
ADGRB3	C1QL2	0.01
ADGRB3	C1QL4	0.01
ADGRB3	RTN4R	0.01
ADGRE2	THY1	0.01
ADGRE5	CD55	0.01
ADGRE5	THY1	0.01
ADGRG1	COL3A1	0.01
ADGRG1	TGM2	0.01
ADGRL2	TENM1	0.01
ADGRL2	TENM2	0.01
ADGRL2	TENM3	0.01
ADGRL2	TENM4	0.01
ADGRL3	FLRT1	0.01
ADGRL3	FLRT2	0.01
ADGRL3	FLRT3	0.01
ADGRL3	TENM2	0.01
ADGRL3	UNC5A	0.01
ADGRV1	WHRN	0.01
ADH1A	PSIP1	0.01
ADH4	PSIP1	0.01
ADIPOQ	ADIPOR1	0.01
ADIPOQ	ADIPOR2	0.01
ADIPOQ	CDH13	0.01
ADIPOQ	PPARG	0.01
ADIPOR1	APPL1	0.01
ADM	GPR182	0.01
ADM	MRGPRX2	0.01
ADM	RAMP2	0.01
ADM2	RAMP1	0.01
ADORA1	ENTPD1	0.01
ADORA1	GNAI2	0.01
ADORA2A	GNAS	0.01
ADORA2B	NTN1	0.01
ADRA1A	CXCR4	0.01
ADRA1B	PRKCA	0.01
ADRA2A	CXCL16	0.01
ADRA2A	GNAI2	0.01
ADRA2A	GNAO1	0.01
ADRA2C	GNAO1	0.01
ADRB1	GOPC	0.01
ADRB1	MAGI2	0.01
ADRB2	ARRB2	0.01
ADRB2	CCKBR	0.01
ADRB2	GNA14	0.01
ADRB2	GNAS	0.01
ADRB2	GRK5	0.01
ADRB2	NHERF1	0.01
ADRB2	OSR1	0.01
ADRB2	SLC52A2	0.01
ADRB3	GNAS	0.01
ADRM1	UCHL5	0.01
AFAP1	SRC	0.01
AFAP1L2	RET	0.01
AFDN	BCR	0.01
AFDN	NECTIN1	0.01
AFDN	RIT1	0.01
AGER	S100A7	0.01
AGER	S100A9	0.01
AGER	S100B	0.01
AGL	NHLRC1	0.01
AGO2	EGFR	0.01
AGO2	TNRC6B	0.01
AGR2	LYPD3	0.01
AGRN	LRP4	0.01
AGRN	MUSK	0.01
AGRP	MC4R	0.01
AGRP	SDC3	0.01
AGT	AGTR1	0.01
AGT	AGTR2	0.01
AGT	ENPEP	0.01
AGT	MAS1	0.01
AGT	REN	0.01
AGTR2	GNAI2	0.01
AGTR2	TIMP3	0.01
AGTRAP	RACK1	0.01
AHCYL2	PAPOLA	0.01
AHCYL2	PAPOLB	0.01
AHR	PRKCA	0.01
AHSA1	GCH1	0.01
AHSA1	HSP90AA1	0.01
AHSG	FAM20C	0.01
AICDA	PRKACA	0.01
AIP	CSNK2A1	0.01
AKAP11	GSK3B	0.01
AKAP12	CDK1	0.01
AKR1C1	NFE2L2	0.01
AKT1	AR	0.01
AKT1	ARHGAP19	0.01
AKT1	ATXN1	0.01
AKT1	CCDC88A	0.01
AKT1	COPS6	0.01
AKT1	DAB2IP	0.01
AKT1	EIF4EBP1	0.01
AKT1	H2BC18	0.01
AKT1	HK2	0.01
AKT1	HTT	0.01
AKT1	IMPDH2	0.01
AKT1	LONP1	0.01
AKT1	MXD1	0.01
AKT1	NF2	0.01
AKT1	NIBAN1	0.01
AKT1	PEA15	0.01
AKT1	PFKFB2	0.01
AKT1	PHLPP2	0.01
AKT1	PIK3R6	0.01
AKT1	PIKFYVE	0.01
AKT1	PTPA	0.01
AKT1	RALGAPA2	0.01
AKT1	RHEBL1	0.01
AKT1	RICTOR	0.01
AKT1	S1PR1	0.01
AKT1	SYTL1	0.01
AKT1	TBC1D4	0.01
AKT1	TCL1A	0.01
AKT1	TKT	0.01
AKT1	TRIB3	0.01
AKT1	USP4	0.01
AKT1	YBX1	0.01
AKT1	ZFP36L1	0.01
AKT1	ZYX	0.01
AKT2	ANKRD2	0.01
AKT2	C2CD5	0.01
AKT2	PKP1	0.01
AKT2	STXBP4	0.01
AKT2	TCL1A	0.01
AKT3	IWS1	0.01
AKT3	PTPA	0.01
ALB	FCGRT	0.01
ALB	LRP2	0.01
ALDH1A1	AURKA	0.01
ALDH1A1	TLX1	0.01
ALDH1A2	PSIP1	0.01
ALDH2	PRKCE	0.01
ALDH3B1	CUL1_RBX1_SKP1	0.01
ALDH6A1	HNF4A	0.01
ALDOC	ARNT_HIF1A	0.01
ALK	ALKAL2	0.01
ALK	ATIC	0.01
ALK	MDK	0.01
ALK	SYP	0.01
ALKAL2	LTK	0.01
ALOX5	MAPKAPK2	0.01
ALPL	SPP1	0.01
ALX4	LEF1	0.01
AMBP	HNF4A	0.01
AMBRA1	BECN1	0.01
AMIGO2	NTM	0.01
AMOT	YAP1	0.01
AMOTL2	LATS2	0.01
AMPH	CDK1	0.01
ANAPC1_ANAPC10_ANAPC11_ANAPC13_ANAPC2_ANAPC4_ANAPC5_ANAPC7_CDC16_CDC23_CDC26_CDC27	CDC20	0.01
ANAPC1_ANAPC10_ANAPC11_ANAPC13_ANAPC2_ANAPC4_ANAPC5_ANAPC7_CDC16_CDC23_CDC26_CDC27	PIWIL1	0.01
ANG	PLXNB2	0.01
ANGPT2	ITGA5_ITGB1	0.01
ANGPT2	TEK	0.01
ANGPT4	TEK	0.01
ANGPTL1	TEK	0.01
ANGPTL2	LILRB2	0.01
ANGPTL2	LILRB3	0.01
ANGPTL4	SDC2	0.01
ANGPTL5	LILRB2	0.01
ANGPTL7	LILRB3	0.01
ANK1	NFASC	0.01
ANK2	NRCAM	0.01
ANK3	ELAVL3	0.01
ANK3	GLDN	0.01
ANK3	HNF4A	0.01
ANKRD6	DVL1	0.01
ANKS1B	DLG4	0.01
ANLN	TP53	0.01
ANO7	AR	0.01
ANO9	STAT1	0.01
ANOS1	FGFR1	0.01
ANP32A	APAF1	0.01
