gene	expr_score	expr_direction	prom_score	prom_direction	body_score	body_direction	concordance	prize
ARHGAP36	1	1	NA	NA	NA	NA	0	1
SLC22A31	0.999948437661132	1	NA	NA	NA	NA	0	0.999948437661132
GABRB2	0.999896875322265	1	NA	NA	NA	NA	0	0.999896875322265
ZCCHC12	0.999845312983397	1	NA	NA	NA	NA	0	0.999845312983397
DCSTAMP	0.999793750644529	1	NA	NA	NA	NA	0	0.999793750644529
TMPRSS6	0.999742188305662	1	NA	NA	NA	NA	0	0.999742188305662
SYT12	0.999690625966794	1	NA	NA	NA	NA	0	0.999690625966794
LRRC52-AS1	0.999639063627926	1	NA	NA	NA	NA	0	0.999639063627926
LINC02555	0.999587501289058	1	NA	NA	NA	NA	0	0.999587501289058
TMPRSS4	0.999535938950191	1	NA	NA	NA	NA	0	0.999535938950191
LIPH	0.999484376611323	1	NA	NA	NA	NA	0	0.999484376611323
MUC21	0.999432814272455	1	NA	NA	NA	NA	0	0.999432814272455
LINC02471	0.999381251933588	1	NA	NA	NA	NA	0	0.999381251933588
HMGA2	0.99932968959472	1	NA	NA	NA	NA	0	0.99932968959472
KLK7	0.999278127255852	1	NA	NA	NA	NA	0	0.999278127255852
KLK10	0.999226564916985	1	NA	NA	NA	NA	0	0.999226564916985
B3GNT3	0.999175002578117	1	NA	NA	NA	NA	0	0.999175002578117
PRR15	0.999123440239249	1	NA	NA	NA	NA	0	0.999123440239249
KLK11	0.999071877900382	1	NA	NA	NA	NA	0	0.999071877900382
ADCY8	0.999020315561514	1	NA	NA	NA	NA	0	0.999020315561514
AP002358.1	0.998968753222646	1	NA	NA	NA	NA	0	0.998968753222646
CLDN10	0.998917190883779	1	NA	NA	NA	NA	0	0.998917190883779
PNPLA5	0.998865628544911	1	NA	NA	NA	NA	0	0.998865628544911
SLC25A47P1	0.998814066206043	1	NA	NA	NA	NA	0	0.998814066206043
SLC5A5	0.998762503867175	-1	NA	NA	NA	NA	0	0.998762503867175
IVL	0.998710941528308	1	NA	NA	NA	NA	0	0.998710941528308
DMBX1	0.99865937918944	1	NA	NA	NA	NA	0	0.99865937918944
RXRG	0.998607816850572	1	NA	NA	NA	NA	0	0.998607816850572
SYTL5	0.998556254511705	1	NA	NA	NA	NA	0	0.998556254511705
TMEM92	0.998504692172837	1	NA	NA	NA	NA	0	0.998504692172837
CST2	0.998453129833969	1	NA	NA	NA	NA	0	0.998453129833969
TFF3	0.998401567495102	-1	NA	NA	NA	NA	0	0.998401567495102
ZNF804B	0.998350005156234	-1	NA	NA	NA	NA	0	0.998350005156234
THCAT155	0.998298442817366	1	NA	NA	NA	NA	0	0.998298442817366
SLIT1	0.998246880478499	1	NA	NA	NA	NA	0	0.998246880478499
KCNA1	0.998195318139631	-1	NA	NA	NA	NA	0	0.998195318139631
NMU	0.998143755800763	1	NA	NA	NA	NA	0	0.998143755800763
GRM4	0.998092193461895	1	NA	NA	NA	NA	0	0.998092193461895
CCL21	0.998040631123028	-1	NA	NA	NA	NA	0	0.998040631123028
HAPLN1	0.99798906878416	1	NA	NA	NA	NA	0	0.99798906878416
PRSS2	0.997937506445292	1	NA	NA	NA	NA	0	0.997937506445292
